[2021-07-02 13:53:49,117] INFO     root         
[2021-07-02 13:53:50,195] INFO     root         Starting web server...
[2021-07-02 13:56:35,432] INFO     root         
[2021-07-20 11:56:32,727] INFO     root         
[2021-07-20 11:56:33,668] INFO     root         Starting web server...
[2021-07-20 11:57:26,149] INFO     root         Serving GET for index.html
[2021-07-20 11:57:26,149] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:26,150] INFO     root         Sending /index.html - type text/html
[2021-07-20 11:57:26,193] INFO     root         Serving GET for style.css
[2021-07-20 11:57:26,193] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:26,194] INFO     root         Sending /style.css - type text/css
[2021-07-20 11:57:26,406] INFO     root         Serving GET for app.js
[2021-07-20 11:57:26,406] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:26,406] INFO     root         Sending /app.js - type application/javascript
[2021-07-20 11:57:26,753] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:26,753] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:26,754] INFO     root         returning base64 image
[2021-07-20 11:57:26,774] INFO     root         Serving GET for favicon.ico
[2021-07-20 11:57:26,775] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:27,784] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:27,784] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:27,784] INFO     root         returning base64 image
[2021-07-20 11:57:29,103] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:29,103] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:29,103] INFO     root         returning base64 image
[2021-07-20 11:57:30,115] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:30,115] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:30,115] INFO     root         returning base64 image
[2021-07-20 11:57:31,443] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:31,443] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:31,443] INFO     root         returning base64 image
[2021-07-20 11:57:32,456] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:32,456] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:32,456] INFO     root         returning base64 image
[2021-07-20 11:57:33,778] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:33,778] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:33,778] INFO     root         returning base64 image
[2021-07-20 11:57:34,803] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:34,803] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:34,804] INFO     root         returning base64 image
[2021-07-20 11:57:36,141] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:36,141] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:36,141] INFO     root         returning base64 image
[2021-07-20 11:57:37,154] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:37,154] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:37,155] INFO     root         returning base64 image
[2021-07-20 11:57:38,476] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:38,476] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:38,476] INFO     root         returning base64 image
[2021-07-20 11:57:39,487] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:39,488] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:39,488] INFO     root         returning base64 image
[2021-07-20 11:57:40,818] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:40,818] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:40,818] INFO     root         returning base64 image
[2021-07-20 11:57:41,831] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:41,832] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:41,832] INFO     root         returning base64 image
[2021-07-20 11:57:43,152] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:43,152] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:43,153] INFO     root         returning base64 image
[2021-07-20 11:57:44,166] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:44,166] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:44,167] INFO     root         returning base64 image
[2021-07-20 11:57:45,498] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:45,498] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:45,498] INFO     root         returning base64 image
[2021-07-20 11:57:46,513] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:46,513] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:46,513] INFO     root         returning base64 image
[2021-07-20 11:57:47,840] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:47,840] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:47,840] INFO     root         returning base64 image
[2021-07-20 11:57:48,853] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:48,853] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:48,854] INFO     root         returning base64 image
[2021-07-20 11:57:50,180] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:50,180] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:50,180] INFO     root         returning base64 image
[2021-07-20 11:57:51,194] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:51,194] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:51,195] INFO     root         returning base64 image
[2021-07-20 11:57:52,534] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:52,534] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:52,534] INFO     root         returning base64 image
[2021-07-20 11:57:53,555] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:53,555] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:53,556] INFO     root         returning base64 image
[2021-07-20 11:57:54,884] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:54,884] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:54,884] INFO     root         returning base64 image
[2021-07-20 11:57:55,903] INFO     root         Serving GET for api/getImage
[2021-07-20 11:57:55,903] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:55,903] INFO     root         returning base64 image
[2021-07-20 11:57:57,169] INFO     root         Serving GET for index.html
[2021-07-20 11:57:57,169] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:57,170] INFO     root         Sending /index.html - type text/html
[2021-07-20 11:57:57,195] INFO     root         Serving GET for style.css
[2021-07-20 11:57:57,195] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:57:57,196] INFO     root         Sending /style.css - type text/css
[2021-07-20 11:58:13,651] INFO     root         Serving GET for index.html
[2021-07-20 11:58:13,652] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:58:13,652] INFO     root         Sending /index.html - type text/html
[2021-07-20 11:58:13,654] INFO     root         Serving GET for app.js
[2021-07-20 11:58:13,654] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:58:13,654] INFO     root         Sending /app.js - type application/javascript
[2021-07-20 11:58:13,689] INFO     root         Serving GET for style.css
[2021-07-20 11:58:13,690] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:58:13,691] INFO     root         Sending /style.css - type text/css
[2021-07-20 11:58:13,995] INFO     root         Serving GET for app.js
[2021-07-20 11:58:13,995] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 11:58:13,996] INFO     root         Sending /app.js - type application/javascript
[2021-07-20 12:01:31,544] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:31,544] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,545] INFO     root         returning base64 image
[2021-07-20 12:01:31,546] INFO     root         Serving GET for favicon.ico
[2021-07-20 12:01:31,546] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,547] INFO     root         Serving GET for index.html
[2021-07-20 12:01:31,547] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,548] INFO     root         Sending /index.html - type text/html
[2021-07-20 12:01:31,549] INFO     root         Serving GET for index.html
[2021-07-20 12:01:31,549] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,550] INFO     root         Sending /index.html - type text/html
[2021-07-20 12:01:31,551] ERROR    root         /index.html  [WinError 10053] An established connection was aborted by the software in your host machine
[2021-07-20 12:01:31,561] INFO     root         Serving GET for index.html
[2021-07-20 12:01:31,561] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,562] INFO     root         Sending /index.html - type text/html
[2021-07-20 12:01:31,902] INFO     root         Serving GET for style.css
[2021-07-20 12:01:31,902] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,903] INFO     root         Sending /style.css - type text/css
[2021-07-20 12:01:31,903] INFO     root         Serving GET for app.js
[2021-07-20 12:01:31,904] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:31,904] INFO     root         Sending /app.js - type application/javascript
[2021-07-20 12:01:32,158] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:32,158] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:32,158] INFO     root         returning base64 image
[2021-07-20 12:01:32,214] INFO     root         Serving GET for favicon.ico
[2021-07-20 12:01:32,214] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:33,191] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:33,191] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:33,192] INFO     root         returning base64 image
[2021-07-20 12:01:34,528] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:34,528] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:34,528] INFO     root         returning base64 image
[2021-07-20 12:01:35,557] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:35,557] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:35,557] INFO     root         returning base64 image
[2021-07-20 12:01:36,878] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:36,878] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:36,878] INFO     root         returning base64 image
[2021-07-20 12:01:37,897] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:37,897] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:37,898] INFO     root         returning base64 image
[2021-07-20 12:01:39,228] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:39,228] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:39,228] INFO     root         returning base64 image
[2021-07-20 12:01:40,251] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:40,251] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:40,252] INFO     root         returning base64 image
[2021-07-20 12:01:41,578] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:41,579] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:41,579] INFO     root         returning base64 image
[2021-07-20 12:01:42,599] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:42,599] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:42,600] INFO     root         returning base64 image
[2021-07-20 12:01:43,938] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:43,938] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:43,938] INFO     root         returning base64 image
[2021-07-20 12:01:44,970] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:44,971] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:44,971] INFO     root         returning base64 image
[2021-07-20 12:01:46,308] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:46,308] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:46,308] INFO     root         returning base64 image
[2021-07-20 12:01:47,329] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:47,329] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:47,330] INFO     root         returning base64 image
[2021-07-20 12:01:48,648] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:48,648] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:48,648] INFO     root         returning base64 image
[2021-07-20 12:01:49,671] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:49,672] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:49,672] INFO     root         returning base64 image
[2021-07-20 12:01:51,008] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:51,008] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:51,008] INFO     root         returning base64 image
[2021-07-20 12:01:52,041] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:52,042] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:52,042] INFO     root         returning base64 image
[2021-07-20 12:01:53,379] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:53,379] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:53,379] INFO     root         returning base64 image
[2021-07-20 12:01:54,412] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:54,412] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:54,413] INFO     root         returning base64 image
[2021-07-20 12:01:55,737] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:55,737] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:55,737] INFO     root         returning base64 image
[2021-07-20 12:01:56,761] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:56,762] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:56,762] INFO     root         returning base64 image
[2021-07-20 12:01:58,098] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:58,098] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:58,098] INFO     root         returning base64 image
[2021-07-20 12:01:59,121] INFO     root         Serving GET for api/getImage
[2021-07-20 12:01:59,122] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:01:59,122] INFO     root         returning base64 image
[2021-07-20 12:02:00,458] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:00,458] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:00,458] INFO     root         returning base64 image
[2021-07-20 12:02:01,473] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:01,473] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:01,474] INFO     root         returning base64 image
[2021-07-20 12:02:02,810] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:02,810] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:02,810] INFO     root         returning base64 image
[2021-07-20 12:02:03,842] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:03,843] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:03,844] INFO     root         returning base64 image
[2021-07-20 12:02:05,178] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:05,178] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:05,178] INFO     root         returning base64 image
[2021-07-20 12:02:06,211] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:06,212] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:06,212] INFO     root         returning base64 image
[2021-07-20 12:02:07,537] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:07,537] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:07,538] INFO     root         returning base64 image
[2021-07-20 12:02:08,557] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:08,557] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:08,558] INFO     root         returning base64 image
[2021-07-20 12:02:09,890] INFO     root         Serving GET for api/getImage
[2021-07-20 12:02:09,890] INFO     root         Running in e:\Development\git\projects\personal\piscope/
[2021-07-20 12:02:09,891] INFO     root         returning base64 image
